"Id","month_year","sp500_index","cpi_index","inflation_rate"
326,"02/2017",2363.64,251.143,2.22
327,"03/2017",2362.72,251.29,2.0
328,"04/2017",2384.2,251.642,1.88
329,"05/2017",2411.8,251.835,1.73
330,"06/2017",2423.41,252.014,1.73
331,"07/2017",2470.3,251.936,1.69
332,"08/2017",2471.65,252.46,1.68
333,"09/2017",2519.36,252.941,1.69
334,"10/2017",2575.26,253.638,1.77
335,"11/2017",2647.58,253.492,1.71
336,"12/2017",2673.61,253.558,1.78
337,"01/2018",2823.81,254.638,1.82
338,"02/2018",2713.83,255.783,1.85
339,"03/2018",2640.87,256.61,2.12
340,"04/2018",2648.05,257.025,2.14
341,"05/2018",2705.27,257.469,2.24
342,"06/2018",2718.37,257.697,2.27
343,"07/2018",2816.29,257.867,2.35
344,"08/2018",2901.52,258.012,2.2
345,"09/2018",2913.98,258.429,2.17
346,"10/2018",2711.74,259.063,2.14
347,"11/2018",2760.17,259.105,2.21
348,"12/2018",2506.85,259.083,2.18
349,"01/2019",2704.1,260.122,2.15
350,"02/2019",2784.49,261.114,2.08
351,"03/2019",2834.4,261.836,2.04
352,"04/2019",2945.83,262.332,2.06
353,"05/2019",2752.06,262.59,1.99
354,"06/2019",2941.76,263.177,2.15
355,"07/2019",2980.38,263.566,2.21
356,"08/2019",2926.46,264.169,2.39
357,"09/2019",2976.74,264.522,2.36
358,"10/2019",3037.56,265.059,2.31
359,"11/2019",3140.98,265.108,2.32
360,"12/2019",3230.78,264.935,2.26
361,"01/2020",3225.52,266.004,2.26
362,"02/2020",2954.22,267.268,2.36
363,"03/2020",2584.59,267.312,2.09
364,"04/2020",2912.43,266.089,1.43
365,"05/2020",3044.31,265.799,1.22
366,"06/2020",3100.29,266.302,1.2
367,"07/2020",3271.12,267.703,1.57
368,"08/2020",3500.31,268.756,1.74
369,"09/2020",3363.0,269.054,1.71
370,"10/2020",3269.96,269.328,1.61
371,"11/2020",3621.63,269.473,1.65
372,"12/2020",3756.07,269.226,1.62
373,"01/2021",3714.24,269.755,1.41
374,"02/2021",3811.15,270.696,1.28
375,"03/2021",3972.89,271.713,1.65
376,"04/2021",4181.17,273.968,2.96
377,"05/2021",4204.11,275.893,3.8
378,"06/2021",4297.5,278.218,4.48
379,"07/2021",4395.26,279.146,4.27
380,"08/2021",4522.68,279.507,4.0
381,"09/2021",4307.54,279.884,4.03
382,"10/2021",4605.38,281.617,4.56
383,"11/2021",4567.0,282.754,4.93
384,"12/2021",4766.18,283.908,5.45
385,"01/2022",4515.55,285.996,6.02
386,"02/2022",4373.79,288.059,6.41
387,"03/2022",4530.41,289.305,6.47
388,"04/2022",4131.93,NULL,NULL
389,"05/2022",4123.34,NULL,NULL
